species,source,reference_link,population_ID,reference,trait,unit,mean.male,n.male,SD.male,mean.female,n.female,SD.female,comments,exclude,location,Measurement
Diglossa cyanea,Kennedy et al. 2018,https://journals.sfu.ca/ornneo/index.php/ornneo/article/viewFile/323/ON%20SI%2029%20%282018%29%20S63-S73%20%281%29.pdf,97,new,wing chord,mm,77.3,26,2.4,72,15,3.5,NA,No,"Manu National Park, Peru, at Wayqecha Biological Station (13°11'14.4''S, 71°35'9.3''W, 2900 m a.s.l.)",natural wing chord (Pyle 1997)
Dromas ardeola,Marchi et al. 2012,https://doi.org/10.1675/063.035.0214,98,new,wing chord,mm,214.2,17,3.11,208.7,22,4.15,NA,No,"Dahret Island (15º54’14”N, 39º34’41”E)",Not tracked
Emberiza citrinella,Harper 1999,https://doi.org/10.1006/anbe.1999.1154,99,new_21,wing length,mm,85.3,28,2.2,NA,NA,NA,Only young males,No,"University of Sussex (50°53'N, 0°06'W)",Not tracked
Emberiza schoeniclus lusitanica,Neto et al. 2013,https://doi.org/10.1371/journal.pone.0063248,100,new,wing length,mm,79.28,50,1.443346362,73.1932,44,1.808290168,"Added subspecies. Despite being different species, I added the same population, because our analyses will likely be at the species level",No,"Salreu marshlands, Portugal",wing (maximum chord) (…) chord
Emberiza schoeniclus schoeniclus,Neto et al. 2013,https://doi.org/10.1371/journal.pone.0063248,100,new,wing length,mm,83.2,20,2.154541,77.63,36,1.70034,"Added subspecies, Reported SE.male: 0.48177, SE.female: 0.28339, original SE.male: 2.15454093904015, original SE.female: 1.70034; original and reported mean.female: 77.625, estimates are in supporting information, not paper itself Despite being different species, I added the same population, because our analyses will likely be at the species level",No,"Salreu marshlands, Portugal",wing (maximum chord) (…) chord
Emberiza schoeniclus schoeniclus,Neto et al. 2013,https://doi.org/10.1371/journal.pone.0063248,101,new,wing length,mm,82.25,10,1.903944,76,2,2.828427,AST: added by AST,No,Liverpool and Oxford regions,wing (maximum chord) (…) chord
Emberiza schoeniclus witherbyi,Neto et al. 2013,https://doi.org/10.1371/journal.pone.0063248,102,new,wing length,mm,79,8,2.000009,73.4167,6,1.497226,AST: added by AST,No,Several sites in Spain,wing (maximum chord) (…) chord
Empidonax minimus,Tarof et al. 2004,https://doi.org/10.1093/beheco/arh155,103,new,wing length,mm,64.97,46,2.170345595,NA,NA,NA,"Reported SE.male: 0.32, original SD.male: 2.17034559460009",No,"Queen’s University Biological Station (QUBS) near Kingston, Canada (44°34' N, 76° 19' W)",flattened wing length (to nearest 0.1 mm)
Erithacus rubecula,Harper 1999,https://doi.org/10.1006/anbe.1999.1154,104,R&E2013,wing length,mm,74,34,1.3,72.1,28,1.2,"Original trait: wing, only adult birds",No,"University of Sussex (50°53'N, 0°06'W)",Not tracked
Erithacus rubecula,Harper 1999,https://doi.org/10.1006/anbe.1999.1154,105,R&E2013,wing length,mm,75.3,35,1.5,73.1,27,1,"Original trait: wing, only young birds",No,"University of Sussex (50°53'N, 0°06'W)",Not tracked
Erithacus rubecula,McCollin et al. 2015,https://doi.org/10.1080/00063657.2015.1061476,106,new_21,wing length,mm,75.1,116,1.81,72.6,78,1.61,data derived from volunteer collected sampling; AST: added by AST,No,710 sites from 50°50?N 0°19?W to 57°30?N 2°18?W,simply as wing lengths
Erithacus rubecula,Rosinska 2007,https://doi.org/10.34080/os.v1.23098,107,new_21,wing length,mm,72.4,24,1.4,71.3,18,1.8,"Estimates originally extracted by Rosinska 2007 from Cuadrado 1991; DOI in reference does not work, try https://journals.lub.lu.se/os/article/download/23098/20558",No,"Andalusia, Spain","""Wing length was measured to the nearest 0.1 mm according to method 3 of Svensson (1984)."""
Erithacus rubecula,Rosinska 2007,https://doi.org/10.1080/00063659709461060,108,new_21,wing length,mm,72.2,76,1.32,69.8,62,1.54,Estimates originally extracted by Rosinska 2007 from Madsen 1997;,No,"Kalø Estate 30 km northeast of Århus (56°17?N 10°28?E) in Jutland, Denmark",Not tracked
Erithacus rubecula,Rosinska 2007,http://www2.sbwp.ug.edu.pl/wp-content/uploads/2016/03/ROSINSKA2007B.pdf,109,R&E2013,wing length,mm,73.71,28,1.41,71.52,21,1.94,Original trait: wing,No,Polish Baltic coast,"""wing length (maximum chord method) (…) measuring the distances between the wing tip and tips of subsequent primaries from the second to the eight (Busse 1974, 2000)."""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,110,R&E2013,wing,mm,67.8,4,2.2,67.6,10,3.1,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 15° S to 18° S and from 26° E to 40° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,111,R&E2013,wing,mm,71.5,4,2.1,68,3,3.6,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 15° S to 18° S and from 29° E to 32° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,112,R&E2013,wing,mm,64.5,18,2.7,63.9,28,1.2,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 15° S to 18° S and from 32° E to 35° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,113,R&E2013,wing,mm,66,1,NA,61,3,NA,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 18° S to 21° S and from 20° E to 23° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,114,R&E2013,wing,mm,68,26,1.8,63,32,1.8,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 18° S to 21° S and from 23° E to 26° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,115,R&E2013,wing,mm,75,1,NA,70,1,NA,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 18° S to 21° S and from 26° E to 29° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,116,R&E2013,wing,mm,75.3,11,1.8,71.4,22,3.6,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 21° S to 24° S and from 17° E to 20° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,117,R&E2013,wing,mm,71.6,5,3,66.1,9,3.3,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 21° S to 24° S and from 26° E to 29° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,118,R&E2013,wing,mm,73.4,33,2.5,67.7,61,3.3,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 21° S to 24° S and from 29° E to 32° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,119,R&E2013,wing,mm,74,95,3.2,67.4,90,3.8,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 24° S to 27° S and from 23° E to 26° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,120,R&E2013,wing,mm,74.7,2906,2.7,69.7,3731,3.3,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 24° S to 27° S and from 26° E to 29° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,121,R&E2013,wing,mm,74.7,155,2.5,67.9,124,3.3,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 24° S to 27° S and from 29° E to 32° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,122,R&E2013,wing,mm,76.1,11,1.9,70.6,20,2.3,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 27° S to 30° S and from 17° E to 20° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,123,R&E2013,wing,mm,71.2,17,4.7,67.5,78,3.4,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 27° S to 30° S and from 20° E to 23° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,124,R&E2013,wing,mm,76,1,NA,67.8,5,1.1,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 27° S to 30° S and from 23° E to 26° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,125,R&E2013,wing,mm,73.5,704,3.2,68.9,801,3.8,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 27° S to 30° S and from 26° E to 29° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,126,R&E2013,wing,mm,73.8,2382,2.6,68.6,2484,3.3,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 27° S to 30° S and from 29° E to 32° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,127,R&E2013,wing,mm,69.8,12,2.9,66.7,20,2.6,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 27° S to 30° S and from 32° E to 35° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,128,R&E2013,wing,mm,76.7,196,2.2,70.4,298,2.4,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 30° S to 33° S and from 17° E to 20° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,129,R&E2013,wing,mm,NA,NA,NA,71,2,5.7,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 30° S to 33° S and from 20° E to 23° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,130,R&E2013,wing,mm,73.5,323,2.1,67.3,150,1.8,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 30° S to 33° S and from 23° E to 26° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,131,R&E2013,wing,mm,76.3,3,4,69,2,1.4,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 30° S to 33° S and from 26° E to 29° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,132,R&E2013,wing,mm,71,10,3.7,65.1,11,2.5,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 30° S to 33° S and from 29° E to 32° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,133,R&E2013,wing,mm,76.6,2807,2,70.1,2481,2,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 33° S to 36° S and from 17° E to 20° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,134,R&E2013,wing,mm,75.4,23,2.9,70.2,20,3.4,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 33° S to 36° S and from 20° E to 23° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,135,R&E2013,wing,mm,73.9,88,2.5,67.1,41,2.2,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 33° S to 36° S and from 23° E to 26° E,"""de Beer et al. (2000)"""
Euplectes orix,Craig et al. 2010,https://doi.org/10.2989/00306525.2010.488357,136,R&E2013,wing,mm,73.4,20,2.9,68.3,3,0.6,A quadrant of the southern African region extending from °S to °S latitude and °E to °E longitude,No,Quadrant extending from 33° S to 36° S and from 26° E to 29° E,"""de Beer et al. (2000)"""
Falco columbarius,Warkentin et al. 1992,https://doi.org/10.2307/1369214,137,R&E2013,wing chord,mm,199.4,47,4,221.9,25,4,NA,No,"Saskatoon, Saskatchewan, Canada",NA
Falco columbarius,Warkentin et al. 2016,https://doi.org/10.1111/ibi.12369,137,new,wing chord,mm,198.5,47,3.65,220.07,73,4.37,NA,No,"Saskatoon, Saskatchewan, Canada (52°070 N, 106°380 W)","""wing chord (to the nearest mm, determined using unflattened measure from carpal joint to wing tip)"""
Falco columbarius,Wiklund 1996,https://doi.org/10.2307/1369570,138,R&E2013,wing length,mm,265.8,101,5.47,294.7,86,6.5,NA,No,"""Padjelanta and Stora Sjiifallet National Parks N Sweden (67° N, 17° E)""","""length of the right wing (stretched and flattened) from the body to the tip of the longest primary (the starting point of the ruler was the chest flank at the joint between the wing and the body)"""
Ficedula albicollis,Husby et al. 2012,https://doi.org/10.1111/j.1558-5646.2012.01806.x,139,new,wing length,mm,82.67,3179,2.07,80.98,4116,1.96,Cannot access the book for measurement double check,No,"Gotland, Sweden","Detailed measurement in ""Gustafsson, L., 1989. Collared flycatcher, Pp. 75–88 in I. Newton, ed. Lifetime reproduction in birds. Academic Press, London."""
Ficedula albicollis,Wiggins & Pärt 1995,https://doi.org/10.2307/1369003,139,R&E2013,wing length,mm,83.3,47,2,81.2,47,1.6,NA,No,"Island of Gotland, in southern Sweden","""Adult wing length (flattened wing chord) was measured on a ruler to the nearest mm."""
Ficedula hypoleuca,Slagsvold & Dale 1996,https://doi.org/10.2307/2265622,140,new,wing length,mm,NA,NA,NA,78.02,339,1.45,"No mention of method of measurement besides ""we measured wing length""",No,"Sørkedalen, Oslo",NA
Ficedula hypoleuca,Slagsvold et al. 1995,https://doi.org/10.1016/0003-3472(95)80110-3,140,new,wing length,mm,79.88,249,1.57,NA,NA,NA,"No mention of method of measurement besides ""we measured wing length""",No,"Sørkedalen, Oslo",NA
Fratercula arctica,Anker-Nilssen et al. 2018,https://doi.org/10.1080/00063657.2018.1524452,141,new,wing length,mm,169.2,31,5.122343,165.2,31,7.293771,"Original SD.male: 5.12234321380362, SD.female: 7.29377131530733, reported SE.male: 0.92, reported SE.female: 1.31",No,Faroese waters,"""wing (maximum flattened chord)"""
Fratercula arctica,Anker-Nilssen et al. 2018,https://doi.org/10.1080/00063657.2018.1524452,142,new,wing length,mm,163,96,4.115143,163.1,85,3.964404,"Original SD.male: 4.11514276787574, SD.female: 3.96440411663594, reported SE.male: 0.42, reported SE.female: 0.43",No,"Isle of May (56°11? N 02°33? W) in the Firth of Forth, Scotland","""wing (maximum flattened chord)"""
Fratercula arctica,Anker-Nilssen et al. 2018,https://doi.org/10.1080/00063657.2018.1524452,143,new,wing length,mm,172.6,157,3.884289,170.7,166,3.607548,"Original SD.male: 3.88428886670392, SD.female: 3.60754764348304, reported SE.male: 0.31, reported SE.female: 0.28",No,"Hernyken (67°26? N 11°52? E) in the Røst archipelago, Norway","""wing (maximum flattened chord)"""
Fratercula arctica,Friars & Diamond 2011,https://doi.org/10.1675/063.034.0305,144,new,wing chord,mm,164.5,45,4.4,162,53,4.8,NA,No,"Machias Seal Island in the Bay of Fundy, Canada (44°30’N, 67°06’W)","""natural wing chord (length from carpal joint to the end of the unflattened longest primary)"""
Fratercula cirrhata,Williams et al. 2007,https://doi.org/10.1111/j.1557-9263.2007.00125.x,145,R&E2013,wing length,mm,204,69,4.5,201.2,107,5,NA,No,"Chiniak Island within Chiniak Bay northeast of Kodiak Island, Alaska (57?40'N, 152°20'W)","""wing chord length (WCL; carpal joint to tip of longest primary)"""
Fringilla coelebs,Harper 1999,https://doi.org/10.1006/anbe.1999.1154,146,R&E2013,wing length,mm,87.5,27,1.3,NA,NA,NA,"Original trait: wing, only young males",No,"University of Sussex (50°53'N, 0°06'W)",Not tracked
Fringilla coelebs,Harper 1999,https://doi.org/10.1006/anbe.1999.1154,146,R&E2013,wing length,mm,87,34,1.2,NA,NA,NA,"Original trait: wing, only adult males",No,"University of Sussex (50°53'N, 0°06'W)",Not tracked
Fulica americana,Lougheed et al. 1991,https://www.jstor.org/stable/4087971,147,R&E2013,wing length,mm,305.5,26,11.0591,283.1,24,9.85188,"Original trait: wing, reported trait: total wing length, reported CV instead of SD or SE, CV.male: 3.62, CV.female: 3.48, original SD.male: 11.0591, SD.female: 9.85188",No,"Minnedosa, Manitoba (50°16'N, 99°50'W)","""wing length (...) measured with a flat metal ruler (0.5 mm), flattened wing chord was measured with a wing board (0.5 mm)"""
Fulica atra,Minias 2015,https://doi.org/10.1675/063.038.0208,148,new,wing length,mm,218.92,25,4.35,206.6,30,4.491325,"Original reference: Minais 2015, original SD.male: 4.35, SD.female: 4.49132497154236, reported SE.male: 0.87, reported SE.female: 0.82",No,"Urban area of Lodz (51° 46' N, 19° 28' E)","""Wing length (measured as maximum chord)"""
Geospiza fortis,Boag 1984,https://doi.org/10.1111/j.1469-7998.1984.tb02380.x,149,R&E2013,wing length,mm,69.49,199,1.974943,66.8,66,2.03101,"Reported SE.male: 0.14, SE.female: 0.25; original SD.male: 1.97494303715322, SD.female: 2.03100960115899",No,"Isla Daphne Major, Galapagos","""wing chord (WNG) was measured to the nearest 1.0 mm using a ruler under the flattened right wing"""
Geospiza scandens,Boag 1984,https://doi.org/10.1111/j.1469-7998.1984.tb02380.x,150,R&E2013,wing length,mm,74.2,69,2.076656,71.94,34,1.516047,"Reported SE.male: 0.25, SE.female: 0.26; original SD.male: 2.07665596572952, SD.female: 1.51604749265978",No,"Isla Daphne Major, Galapagos","""wing chord (WNG) was measured to the nearest 1.0 mm using a ruler under the flattened right wing"""
Geothlypis trichas,Taff et al. 2018,https://doi.org/10.1371/journal.pone.0207783,151,new,wing length,mm,54.8,77,1.5,NA,NA,NA,"No mention of method of measurement besides ""we measured wing length""; no female measurements; reported n.male: 140 with a return rate of 55% results in 77 returned males",No,"Saratoga Springs, New York, USA (43?10'24.6''N, 73?53' 19.7''W)","""we recorded morphological measurements (wing length, tarsus length, and mass)"""
Geothlypis trichas,Taff et al. 2018,https://doi.org/10.1371/journal.pone.0207783,151,new,wing length,mm,54.4,63,1.7,NA,NA,NA,"No mention of method of measurement besides ""we measured wing length""; no female measurements",No,"Saratoga Springs, New York, USA (43?10'24.6''N, 73?53' 19.7''W)","""we recorded morphological measurements (wing length, tarsus length, and mass)"""
Haematopus ostralegus longipes,Rusticali et al. 2002,https://doi.org/10.1080/00063650209461282,152,R&E2013,wing length,mm,269.1,47,6.3,270.2,69,6,Original species: Haematopus ostralegus,No,"Po Delta and in the Venetian Lagoon (northeast Italy: 45°15?N, 12°10?E to 44°49?N, 12°17?E)","""wings: flattened and straightened wing chord (Svensson 1982)"""
Haematopus ostralegus ostralegus,Rusticali et al. 2002,https://doi.org/10.1080/00063650209461282,153,new_21,wing length,mm,259.8,517,6.8,262.5,467,5.8,Estimates originally extracted by Rusticali et al. 2002 from Hulscher & Ens in Lambeck 1995; did not double check the measurement method,No,Netherlands E Wadden Sea,NA
Haematopus ostralegus ostralegus,Rusticali et al. 2002,https://doi.org/10.1080/00063650209461282,154,new_21,wing length,mm,257.9,40,5.5,259.3,36,6.5,Estimates originally extracted by Rusticali et al. 2002 from Harris 1967; did not double check the measurement method,No,"Great Britain, Skokholm",NA
Hemitriccus nidipendulus,Medeiros et al. 2019,https://dx.doi.org/10.3897/zoologia.36.e32771,155,new,wing length,mm,45.2,40,1.27,44.4,16,1.54,"No mention of method of measurement besides ""we measured wing length""",No,"Massambaba region in the state of Rio de Janeiro, Brazil","""(...) using a ruler (precision 1 mm) (...) wing length (...)"""
Hippolais icterina,Dorsch 2003,https://www.zobodat.at/publikation_articles.php?id=317990,303,R&E2013,wing length,mm,79.4,39,1.7,77.5,40,1.62,NA,No,NA,NA
Hirundo rustica,Møller & Mousseau 2003,https://doi.org/10.1111/j.0014-3820.2003.tb00391.x,156,R&E2013,wing length,mm,126.411,1510,3.031,124.347,1538,2.941,"Original SD.male: 3.03097602265626, SD.female: 2.94661603120429",No,Denmark,"""length of the left and right flattened wing (Svensson, 1984; hereafter wing length) (...) was measured with a ruler to the nearest mm."""
Hirundo rustica,Møller & Mousseau 2003,https://doi.org/10.1111/j.0014-3820.2003.tb00391.x,157,R&E2013,wing length,mm,124.975,141,3.289,NA,NA,NA,AST: added by AST,No,Chernobyl,
Hirundo rustica,Møller & Mousseau 2003,https://doi.org/10.1111/j.0014-3820.2003.tb00391.x,158,R&E2013,wing length,mm,126.289,123,2.928,NA,NA,NA,AST: added by AST,No,Kanev,
Hirundo rustica,Møller & Nielsen 1997,https://doi.org/10.1006/anbe.1997.9998,159,new,wing length,mm,126.83,781,5.589275,124.77,778,5.589275,"SD.female: 5.57853027239254, SD.male: 5.58927544499285; reported SE.male: 0.2, SE.female: 0.2",No,"Kraghede (57°12'N, 10°00'E), Denmark","""measured with a ruler the length of the left and right flattened wing (Svensson 1984; hereafter wing length)"""
Hirundo rustica,Møller 1990,https://doi.org/10.1016/S0003-3472(05)80409-9,159,new,wing length,mm,125.6,74,2.6,124.6,63,3.1,AB 39:458-465,No,"Kraghede (57°12'N, 10°00'E), Denmark",wing length (flattened wing method (Svensson 1984) to the nearest mm)
Hirundo rustica,Møller 1992,https://doi.org/10.1016/S0003-3472(05)80409-9,159,new,wing length,mm,126.19,59,2.611589554,124.74,60,2.943467343,JEB 5:691-699,No,"Kraghede (57°12'N, 10°00'E), Denmark","(Svensson, 1984)"
Hirundo rustica,Møller et al. 1995,https://doi.org/10.1046/j.1420-9101.1995.8060671.x,159,new,wing length,mm,126.81,856,2.925748,124.77,883,2.971532,"Original SD.male: 2.92574776766556, SD.female: 2.97153159162073; SE.male: 0.1, SE:female: 0.1",No,"Kraghede (57° N, 10° E), Denmark","""length of the left and right flattened wing (Svensson, 1984; hereafter wing length) (...) was measured with a ruler to the nearest mm."""
Hirundo rustica,Møller et al. 1995,https://doi.org/10.1046/j.1420-9101.1995.8060671.x,157,new,wing length,mm,124.7,50,2.687006,123.64,45,2.482035,"Original SD.male: 2.68700576850888, SD.female: 2.48203545502477; SE.male: 0.38, SE:female: 0.37",No,"Chernobyl (52° N, 29° E)","""length of the left and right flattened wing (Svensson, 1984; hereafter wing length) (...) was measured with a ruler to the nearest mm."""
Hirundo rustica,Møller et al. 1995,https://doi.org/10.1046/j.1420-9101.1995.8060671.x,158,new,wing length,mm,126.66,69,3.073451,124.77,73,2.990401,"Original SD.male: 3.07345082927969, SD.female: 2.99040131086114; SE.male: 0.37, SE:female: 0.35",No,"Kanev (50° N, 31° E)","""length of the left and right flattened wing (Svensson, 1984; hereafter wing length) (...) was measured with a ruler to the nearest mm."""
Hirundo rustica,Møller et al. 1995,https://doi.org/10.1046/j.1420-9101.1995.8060671.x,160,new,wing length,mm,123.54,212,2.62084,122.07,182,2.833055,"Original SD.male: 2.62083956014099, SD.female: 2.83305488827873; SE.male: 0.18, SE:female: 0.21",No,"Milano (45° N, 9° E), Italy","""length of the left and right flattened wing (Svensson, 1984; hereafter wing length) (...) was measured with a ruler to the nearest mm."""
Hirundo rustica,Møller et al. 1995,https://doi.org/10.1046/j.1420-9101.1995.8060671.x,161,new,wing length,mm,120.25,55,2.669831,119.73,51,2.713743,"Original SD.male: 2.66983145535444, SD.female: 2.71374280284628; SE.male: 0.36, SE:female: 0.38",No,"Badajoz (39° N, 7° W), Spain","""length of the left and right flattened wing (Svensson, 1984; hereafter wing length) (...) was measured with a ruler to the nearest mm."""
Hydrobates pelagicus,Castro et al. 2013,https://www.senckenberg.de/wp-content/uploads/2019/08/10_vertebrate_zoology_63-3_castro_313-320.pdf,162,new,wing length,mm,116.7,46,2.16,118.9,33,2.17,NA,No,"NW El Hierro island; 27º 49? N 17º 59? W, Canary Islands","""Wing length (maximum chord) was taken using a stopped rule (Svensson 1992) to 1 mm"""
Hydrobates pelagicus pelagicus,Jakubas et al. 2014,http://doi.org/10.3161/000164514X682904,163,new,wing length,mm,121.9,102,2.43,123.7,54,2.41,"No mention of measurement method other than ""ruler"". Added ""pelagicus"" as a subscepcies name.",No,"European Storm Petrel breeding colony on Nólsoy Island (61°59’N, 06°38’W) in the Faeroes",NA
Jacana jacana,Emlen & Wrege 2004,https://doi.org/10.1016/j.anbehav.2003.08.034,164,R&E2013,wing length,mm,116,120,3.5,130.8,66,3.9,NA,No,"Wattled Jacanas on the Chagres River, 2.5 km northwest of the town of Gamboa, in the Republic of Panama","right wing length (to 0.5 mm, as unflattened chord using a stopped ruler)"""
Junco hyemalis,Ketterson & Nolan 1978,https://www.jstor.org/stable/4085366 ,165,R&E2013,wing length,mm,80.7,54,1.65,76.6,33,1.25,"No mention of measurement method other than ""nearest mm"".",No,"Bloomington, Indiana",NA
Lagopus lagopus,Gruys & Hannon 1993,http://www.jstor.org/stable/4513764,166,R&E2013,wing chord,mm,189.8,49,5.6,179.2,48,5.8,"Original trait: wing length, measurement ""unflattened""",No,"Chilkat Pass in northwestern British Columbia (59'50'N, 136°35'W)","""Wing chord was measured on an unflattened wing from the outside bend of the carpal joint to the tip of the longest primary on the folded wing (Bergerud et al. 1963)"""
Lanius collurio,Jakober & Stauber 2000,https://doi.org/10.1046/j.1439-0361.2000.00036.x,167,R&E2013,wing length,mm,94.94,792,1.86,94.54,642,1.9,Measurement period 1964-1989,No,"Kuchen-Gingen-Süßen (Kreis Gøppingen, Baden-Württemberg, Germany)","""Länge des gestreckten Flügels mit einer Genauigkeit yon 0,5 mm gemessen (Methode Kleinschmidt nach Kelm 1970)"" [length of flattened wing up to 0.5 mm]"
Lanius collurio,Jakober & Stauber 2000,https://doi.org/10.1046/j.1439-0361.2000.00036.x,167,R&E2013,wing length,mm,94.71,337,1.93,94.03,269,1.98,Measurement period 1990-1998,No,"Kuchen-Gingen-Süßen (Kreis Gøppingen, Baden-Württemberg, Germany)","""Länge des gestreckten Flügels mit einer Genauigkeit yon 0,5 mm gemessen (Methode Kleinschmidt nach Kelm 1970)"" [length of flattened wing up to 0.5 mm]"
Lanius ludovicianus,Gutierrez-Corchero et al. 2007,https://doi.org/10.1080/03078698.2007.9674360,168,R&E2013,wing length,mm,97,62,8,95,69,2,"Original species: Lanius meriodionalis; the original estimates are not in the reference and do not seem to be a mean of something. AST: added the Lanius ludovicianus data reported in table 5, which comes from Collister & Wicklum 1996",No,"Alberta, Canada",according to Svensson (1992): the length of the wing (maximum chord)
Lanius meridionalis,Gutierrez-Corchero et al. 2007,https://doi.org/10.1080/03078698.2007.9674360,169,R&E2013,wing length,mm,106.3,51,1.53,105.64,44,1.63,NA,No,Navarre (northern Spain),Svensson (1992): the length of the wing (maximum chord)
Lanius meridionalis,Infante & Peris 2004,https://www.ardeola.org/uploads/articles/docs/1208.pdf,170,R&E2013,wing length,mm,107.55,21,2.2,107.22,14,2.6,"Original reference: Infante & Perris 2004, other measurements in Table 1 are from books I do not have access to",No,"Salamanca (Central-west of the Iberian Peninsula, 5°39' W, 40°57' N)","Maximum wing length (see Svensson, 1998)"
Lanius senator,Yosef & Tryjanowski 2000,http://www.wbwp-fund.eu/ring/pdf/22-1/yos3.pdf,171,R&E2013,wing length,mm,99.8,40,2.3,99.7,70,2.2,NA,No,"Eilat, at the northern tip of the Gulf of Aqaba (northern Saharan-Arabian desert belt)",Maximum wing chord (Svensson 1992)
